"gps_data_id","sensor_code","utc_date","utc_time","line_no","tff","latitude","longitude","height","maxsnr","hdop","vdop","sat","fix","v1","v2","t1","t2","h1","h2","s1","s2","s3","s4","insert_timestamp","acquisition_time"
18218,"CJ11","2019-01-21","06:02:02",276,62,"26.0722","-80.2792027777778","0",42,"3.5","5.1",4,"3D","3.45V",NULL,"17.14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 01:02:02-05"
18219,"CJ11","2019-01-21","07:02:09",277,69,"26.0708694444444","-80.2787194444444","16",42,"1.6","2.6",6,"3D","3.49V",NULL,"20.27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 02:02:09-05"
18220,"CJ11","2019-01-21","08:02:06",278,66,"26.0708361111111","-80.2787138888889","-2",42,"1.7","1.8",5,"3D","3.50V",NULL,"23.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 03:02:06-05"
18221,"CJ11","2019-01-21","17:02:30",279,90,"26.0705611111111","-80.2786944444444","10",36,"2.8","5",4,"3D","3.47V",NULL,"35.01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 12:02:30-05"
18222,"CJ11","2019-01-21","18:02:04",280,64,"26.0705527777778","-80.2787111111111","15",36,"3.2","7.5",5,"3D","3.50V",NULL,"35.46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 13:02:04-05"
18223,"CJ11","2019-01-21","19:02:04",281,64,"26.0743027777778","-80.2779888888889","2",41,"1.4","3.5",6,"3D","3.50V",NULL,"25.29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 14:02:04-05"
18224,"CJ11","2019-01-21","20:02:07",282,67,"26.0732361111111","-80.2793611111111","1",33,"1.8","1.2",7,"3D","3.47V",NULL,"22.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 15:02:07-05"
18225,"CJ11","2019-01-21","21:02:06",283,66,"26.0732861111111","-80.2794","12",40,"9.9","1.9",4,"3D","3.47V",NULL,"22.23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 16:02:06-05"
18226,"CJ11","2019-01-21","22:02:30",284,90,"26.0717583333333","-80.2789166666667","-4",41,"1","2.2",9,"3D","3.47V",NULL,"24.84",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 17:02:30-05"
18227,"CJ11","2019-01-21","23:02:03",285,63,"26.0717305555556","-80.2789222222222","0",41,"1","1.5",9,"3D","3.50V",NULL,"28.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 18:02:03-05"
18228,"CJ11","2019-01-22","00:02:11",286,71,"26.0734916666667","-80.2787444444444","-5",30,"1.6","1.5",6,"3D","3.45V",NULL,"22.75",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 19:02:11-05"
18229,"CJ11","2019-01-22","01:02:07",287,67,"26.0743055555556","-80.2780388888889","8",32,"1.6","3.1",4,"3D","3.47V",NULL,"22.68",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 20:02:07-05"
18230,"CJ11","2019-01-22","02:02:23",288,83,"26.0734777777778","-80.2793861111111","0",24,"3.1","6.7",5,"3D","3.37V",NULL,"29.07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 21:02:23-05"
18231,"CJ11","2019-01-22","03:02:02",289,62,"26.0723138888889","-80.2792944444444","-3",45,"1.1","1.5",7,"3D","3.45V",NULL,"19.36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 22:02:02-05"
18232,"CJ11","2019-01-22","04:02:04",290,64,"26.0692888888889","-80.2790722222222","0",32,"1.2","3.2",5,"3D","3.45V",NULL,"18.45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 23:02:04-05"
